Unnamed: 0,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Alabama,4048508,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862
Alaska,553120,569273,587073,596993,600624,601345,604918,608846,615205,619500
Arizona,3679056,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332
Arkansas,2354343,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373
California,29950111,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121
Colorado,3303862,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133
Connecticut,3289056,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031
Delaware,669063,680495,690158,699475,708416,718265,727090,735024,744066,753538
District Of Columbia,603814,593239,584183,576358,564982,551273,538273,528752,521426,519000
Florida,13018365,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244
Georgia,6506531,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240
Hawaii,1112703,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497
Idaho,1011882,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700
Illinois,11446979,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370
Indiana,5555097,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901
Iowa,2779769,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2861025,2869413
Kansas,2480683,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052
Kentucky,3692584,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825
Louisiana,4219179,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035
Maine,1231296,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040
Maryland,4797431,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5171634
Massachusetts,6018664,5998652,5993474,6010884,6031352,6062335,6085393,6115476,6144407,6175169
Michigan,9310462,9395022,9470323,9529240,9584481,9659871,9739184,9785450,9820231,9863775
Minnesota,4387283,4427429,4471503,4521709,4566028,4605445,4647723,4687726,4726411,4775508
Mississippi,2577426,2591230,2610193,2635574,2663450,2690788,2709925,2731826,2751335,2768619
Missouri,5126370,5157770,5193686,5237757,5281206,5324610,5367888,5407113,5437562,5468338
Montana,799824,807837,822436,839876,854923,868522,876656,878706,879533,882779
Nebraska,1580664,1590805,1602406,1612149,1621551,1635142,1647657,1656042,1660772,1666028
Nevada,1218629,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253
New Hampshire,1111831,1107055,1112766,1122191,1133054,1145604,1160768,1173239,1185823,1201134
New Jersey,7757158,7784269,7827770,7874891,7918796,7965523,8009624,8054178,8095542,8143412
New Mexico,1519933,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844
New York,18002855,18029532,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601
North Carolina,6656987,6748135,6831850,6947412,7060959,7185403,7307658,7428672,7545828,7650789
North Dakota,637364,634199,635427,637229,639762,641548,642858,640945,637808,633666
Ohio,10861837,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654
Oklahoma,3147105,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044
Oregon,2858547,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154
Pennsylvania,11895604,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016
Rhode Island,1004649,1003990,1000571,997852,993412,989203,987858,986966,987704,990819
South Carolina,3499064,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736
South Dakota,696667,701445,708698,716258,723038,728251,730699,730855,730789,733133
Tennessee,4890626,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535
Texas,17044714,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141
Utah,1729722,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836
Vermont,564526,567141,570115,574004,578900,582827,586352,588665,590579,593740
Virginia,6213526,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912
Washington,4900780,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361
West Virginia,1792481,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806928
Wisconsin,4902265,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446
Wyoming,453401,457739,463491,469033,474982,478447,480085,480031,480045,479602
